No.,phi,Ha,Ra,Nu
1,0,0,1000,7.7476
2,0,0,10000,7.7555
3,0,0,100000,8.8559
4,0,0,1000000,13.433
5,0,20,1000,7.7475
6,0,20,10000,7.7517
7,0,20,100000,8.4668
8,0,20,1000000,12.969
9,0,40,1000,7.7475
10,0,40,10000,7.749
11,0,40,100000,7.9926
12,0,40,1000000,12.006
13,0,60,1000,7.7475
14,0,60,10000,7.7481
15,0,60,100000,7.8276
16,0,60,1000000,10.993
17,0,80,1000,7.7475
18,0,80,10000,7.7478
19,0,80,100000,7.7796
20,0,80,1000000,10.101
21,0,100,1000,7.751
22,0,100,10000,7.7476
23,0,100,100000,7.7627
24,0,100,1000000,9.3802
25,0.01,0,1000,7.9718
26,0.01,0,10000,7.9789
27,0.01,0,100000,9.0223
28,0.01,0,1000000,13.628
29,0.01,20,1000,7.9717
30,0.01,20,10000,7.9755
31,0.01,20,100000,8.633
32,0.01,20,1000000,13.153
33,0.01,40,1000,7.9717
34,0.01,40,10000,7.973
35,0.01,40,100000,8.1877
36,0.01,40,1000000,12.169
37,0.01,60,1000,7.9717
38,0.01,60,10000,7.9722
39,0.01,60,100000,8.0421
40,0.01,60,1000000,11.136
41,0.01,80,1000,7.9717
42,0.01,80,10000,7.9719
43,0.01,80,100000,8.0001
44,0.01,80,1000000,10.233
45,0.01,100,1000,7.9717
46,0.01,100,10000,7.9718
47,0.01,100,100000,7.9852
48,0.01,100,1000000,9.512
49,0.02,0,1000,8.2003
50,0.02,0,10000,8.2067
51,0.02,0,100000,9.1909
52,0.02,0,1000000,13.822
53,0.02,20,1000,8.2003
54,0.02,20,10000,8.2036
55,0.02,20,100000,8.8045
56,0.02,20,1000000,13.337
57,0.02,40,1000,8.2003
58,0.02,40,10000,8.2014
59,0.02,40,100000,8.3904
60,0.02,40,1000000,12.332
61,0.02,60,1000,8.2003
62,0.02,60,10000,8.2007
63,0.02,60,100000,8.2622
64,0.02,60,1000000,11.28
65,0.02,80,1000,8.2003
66,0.02,80,10000,8.2005
67,0.02,80,100000,8.2254
68,0.02,80,1000000,10.368
69,0.02,100,1000,8.2003
70,0.02,100,10000,8.2004
71,0.02,100,100000,8.2123
72,0.02,100,1000000,9.6489
73,0.03,0,1000,8.433376726
74,0.03,0,10000,8.439055044
75,0.03,0,100000,9.362111635
76,0.03,0,1000000,14.01700116
77,0.03,20,1000,8.433354018
78,0.03,20,10000,8.436348424
79,0.03,20,100000,8.982204643
80,0.03,20,1000000,13.52214681
81,0.03,40,1000,8.43333622
82,0.03,40,10000,8.434377406
83,0.03,40,100000,8.600611582
84,0.03,40,1000000,12.49756964
85,0.03,60,1000,8.433330015
86,0.03,60,10000,8.433746029
87,0.03,60,100000,8.488000674
88,0.03,60,1000000,11.42696179
89,0.03,80,1000,8.433327593
90,0.03,80,10000,8.433523945
91,0.03,80,100000,8.45563836
92,0.03,80,1000000,10.50648708
93,0.03,100,1000,8.43332644
94,0.03,100,10000,8.433432294
95,0.03,100,100000,8.444057328
96,0.03,100,1000000,9.791228204
97,0.04,0,1000,8.671064624
98,0.04,0,10000,8.676140649
99,0.04,0,100000,9.536618727
100,0.04,0,1000000,14.2122339
101,0.04,20,1000,8.67104411
102,0.04,20,10000,8.67372838
103,0.04,20,100000,9.166674263
104,0.04,20,1000000,13.70830147
105,0.04,40,1000,8.671028033
106,0.04,40,10000,8.671964798
107,0.04,40,100000,8.818175079
108,0.04,40,1000000,12.66459697
109,0.04,60,1000,8.671022418
110,0.04,60,10000,8.671397892
111,0.04,60,100000,8.719338075
112,0.04,60,1000000,11.57631445
113,0.04,80,1000,8.671020214
114,0.04,80,10000,8.671198036
115,0.04,80,100000,8.690864875
116,0.04,80,1000000,10.64895809
117,0.04,100,1000,8.671019157
118,0.04,100,10000,8.671115392
119,0.04,100,100000,8.680606839
120,0.04,100,1000000,9.939537862
121,0.05,0,1000,8.913522626
122,0.05,0,10000,8.918060996
123,0.05,0,100000,9.715082547
124,0.05,0,1000000,14.40842403
125,0.05,20,1000,8.91350411
126,0.05,20,10000,8.915911575
127,0.05,20,100000,9.358599785
128,0.05,20,1000000,13.89600542
129,0.05,40,1000,8.91348959
130,0.05,40,10000,8.914333118
131,0.05,40,100000,9.042966266
132,0.05,40,1000000,12.83343904
133,0.05,60,1000,8.913484506
134,0.05,60,10000,8.913823761
135,0.05,60,100000,8.956263006
136,0.05,60,1000000,11.72839899
137,0.05,80,1000,8.913482499
138,0.05,80,10000,8.91364375
139,0.05,80,100000,8.931166965
140,0.05,80,1000000,10.79551483
141,0.05,100,1000,8.913481528
142,0.05,100,10000,8.913569152
143,0.05,100,100000,8.922063159
144,0.05,100,1000000,10.09429967
