No.,phi,Ha,Ra
1,0.01,0,1000
2,0.01,0,10000
3,0.01,0,100000
4,0.01,0,1000000
5,0.01,20,1000
6,0.01,20,10000
7,0.01,20,100000
8,0.01,20,1000000
9,0.01,40,1000
10,0.01,40,10000
11,0.01,40,100000
12,0.01,40,1000000
13,0.01,60,1000
14,0.01,60,10000
15,0.01,60,100000
16,0.01,60,1000000
17,0.01,80,1000
18,0.01,80,10000
19,0.01,80,100000
20,0.01,80,1000000
21,0.01,100,1000
22,0.01,100,10000
23,0.01,100,100000
24,0.01,100,1000000
25,0.02,0,1000
26,0.02,0,10000
27,0.02,0,100000
28,0.02,0,1000000
29,0.02,20,1000
30,0.02,20,10000
31,0.02,20,100000
32,0.02,20,1000000
33,0.02,40,1000
34,0.02,40,10000
35,0.02,40,100000
36,0.02,40,1000000
37,0.02,60,1000
38,0.02,60,10000
39,0.02,60,100000
40,0.02,60,1000000
41,0.02,80,1000
42,0.02,80,10000
43,0.02,80,100000
44,0.02,80,1000000
45,0.02,100,1000
46,0.02,100,10000
47,0.02,100,100000
48,0.02,100,1000000
49,0.03,0,1000
50,0.03,0,10000
51,0.03,0,100000
52,0.03,0,1000000
53,0.03,20,1000
54,0.03,20,10000
55,0.03,20,100000
56,0.03,20,1000000
57,0.03,40,1000
58,0.03,40,10000
59,0.03,40,100000
60,0.03,40,1000000
61,0.03,60,1000
62,0.03,60,10000
63,0.03,60,100000
64,0.03,60,1000000
65,0.03,80,1000
66,0.03,80,10000
67,0.03,80,100000
68,0.03,80,1000000
69,0.03,100,1000
70,0.03,100,10000
71,0.03,100,100000
72,0.03,100,1000000
73,0.04,0,1000
74,0.04,0,10000
75,0.04,0,100000
76,0.04,0,1000000
77,0.04,20,1000
78,0.04,20,10000
79,0.04,20,100000
80,0.04,20,1000000
81,0.04,40,1000
82,0.04,40,10000
83,0.04,40,100000
84,0.04,40,1000000
85,0.04,60,1000
86,0.04,60,10000
87,0.04,60,100000
88,0.04,60,1000000
89,0.04,80,1000
90,0.04,80,10000
91,0.04,80,100000
92,0.04,80,1000000
93,0.04,100,1000
94,0.04,100,10000
95,0.04,100,100000
96,0.04,100,1000000
97,0.05,0,1000
98,0.05,0,10000
99,0.05,0,100000
100,0.05,0,1000000
101,0.05,20,1000
102,0.05,20,10000
103,0.05,20,100000
104,0.05,20,1000000
105,0.05,40,1000
106,0.05,40,10000
107,0.05,40,100000
108,0.05,40,1000000
109,0.05,60,1000
110,0.05,60,10000
111,0.05,60,100000
112,0.05,60,1000000
113,0.05,80,1000
114,0.05,80,10000
115,0.05,80,100000
116,0.05,80,1000000
117,0.05,100,1000
118,0.05,100,10000
119,0.05,100,100000
120,0.05,100,1000000
